appid,review,sentiment
10,"too shity it is incredible that this fucking shit game doesnt have an option to play with bots while the cracked version it does it, too funny and stupid at the same time that the cracked version is more complete that this peace of dirt",Negative
10,"W game but bad on steam version nonsteam better tho 
",Negative
10,Why is this game so boring?! There are no bots in the single player :(,Negative
10,game's peace is too slow and weapons are too inaccurate even at point blank,Negative
10,.,Negative
10,"The game is great, but standstill crouching with an AK-47 still has bad accuracy. Only if guns had better initial accuracy I would recommend the game. I guess you could try scripting plugins.",Negative
10,disgrace to the elderly,Negative
10,"I don't care what people think.

Even though source was developed 4 years after this game it is 40 times better.",Negative
10,"Counter-Strike 1.6 can download custom content from servers, which may potentially contain viruses. Servers are still capable of modifying the configuration file so that the connect command will always redirect you to the same malicious server. The Internet tab is full of fake servers designed solely to redirect players to advertised servers.",Negative
10,meh,Negative
10,too many hacks,Negative
10,I was jumpscared so bad I uninstalled.,Negative
10,"I want to know why i can t see the guns in the game, i buyed this game and i have the worst bug ever, i can t see the guns please solve this problem because i tried allot of things to solve it by myself but 0 progress. Why i need to buy this game and isnt working properly. I want to be contacted on email to give me some solutions beause i already made a refund for Counter Strike Source because the game lags too much, and my pc can run the game easy",Negative
10,dont,Negative
10,It ruins your life if you wanna get gud,Negative
10,låt mig gifta skiten då,Negative
10,"seja gordo,sedentario,sem familia e obeso, assim vc consegue acertar bala,",Negative
10,"i failed
-sorryromanmarcusgarcia
",Negative
10,çok kötü indirmeyin,Negative
10,big dislajk,Negative
10,it is fucking cheaters game,Negative
10,חלח,Negative
10,alot of ppl gonna get mad at me but I love the source ver so much more then whatever this is,Negative
10,this sucks,Negative
10,Trash,Negative
10,too bad,Negative
10,"Good game, but everything is broken. Better download cracked cs1.6 Warzone which is not as broken and has much more options",Negative
10,trash,Negative
10,хз говно не советую,Negative
10,"costs so much money for a 20+ year old game
",Negative
10,unplayable because of huge stutters and visual bugs,Negative
10,"Ain't really my taste, it doesn't feel like I am even shooting or anything. The crouching is weird too. CS:S is better.

I know I may have upset most people lol, and I know this game is old... I expected it to be bad.",Negative
10,"Counter-Strike ok.
Steam version empty. no",Negative
10,CS:NO,Negative
10,"its rigged, the enemies killed with a gun instead of a wine bottle on cs_italy.",Negative
10,lose,Negative
10,"This game is literally only played sweats who have played it for 5k hours minimum, you will not have any fun playing anything but surf",Negative
10,Can't CPU bot add.....How to play offline,Negative
10,"полно читеров на общественных серверах, сама игра является примером хорошего тактического шутера, а с друзьями по локалке погонять то что надо
",Negative
10,KIRi,Negative
10,If I can't use a controller then I'm not interested.,Negative
10,">30 year old boomer with MAGA pfp rages in voice chat from getting randomly headshotted to death ONCE AGAIN when moving at a door
This is a shitty old game with shitty mechanics and was later raped into a shitty franchise because of ports. Competitive is basically people who over-analyze already over-analytic game.",Negative
10,Very dated.,Negative
10,VERY BAD GRAPHICS (EXTREMELY SHIT GAME),Negative
10,50 meciu be vaiku geimeriu grajus senijorai atsilike nuo naujoviu tai px sueina jiem ten,Negative
10,"this Game the best i've ever played in my entire miserable life 
BUT
Don't buy this game for Multiplayer, This Game is infested with Fake cloned servers that will give you Malware when joining them",Negative
10,PIDARS,Negative
10,"The in-game server browser is infested with Russian servers with spoofed player counts.  Whenever you join them, it redirects you to an entirely different server with 0 players.",Negative
10,i beat my girlfrend,Negative
10,overrated as fuck say you,Negative
10,"its a copy of that one game cs 2..... 
dont plays unlees wants to ghet infected with stupid because counntre struik 2 is better

1/10 on mealman scale",Negative
10,boring,Negative
10,fuck valve and every game they make,Negative
10,"Valve has committed highway robbery by breaking a game I've owned and played for 16 years with this ""25th anniversary"" crap. 

https://cs-legacy.net/",Negative
10,"old game, not for everyone.",Negative
10,waste of time :)),Negative
