review,sentiment
top,1
haxorzone,1
played this game so many years ago now we have csgo and soon will have cs but the og players will always have a special place for counterstrike,1
much laaaaaaaag,0
very good game,1
old times are gold times,1
man stanley op asf,1
nostalgic game,1
good game,1
lmcek kardeim bu oyun l m c e k korsandan steame yllardr oynuyorum halada saryor cs ye bin basar bu eski oyunda bile hile koruma var cs de yok aka gibi,1
y,1
very fun,1
geras,1
back cs,1
classic,1
i just play this game to remember the good old day when come to the game just good and fun adding mods is fun to so,1
luv ya,1
this game is very good bc im able to play this game on a doo doo pc five stars,1
like,1
best,1
years later still playing still my favorite game,1
legend,1
in da hood game,1
speak as citizen of ukraine i ask to stop war attack from russia on ukraine civil people are dying in big cities like kyiv mariupol kharkiv chernihiv plenty of documented war crime evidences with using cluster bombs on civil houses and attacking aid help attack from russia on biggest nuclear plant in europe energodar with danger of explosion i address to all steam community to block russia users from steam system,0
trash game,0
nofbo high console nosync refresh nojoy novid noforcemaccel noforcemparms noforcemspd here u can play cs without any problem gl,1
i like this game,1
best game in history of gaming,1
good,1
cs cs,1
great game even in,1
the best of year game,1
kontre stiik,1
must not die at all cost,1
best pc game ever made,1
very good mashallah,1
good,1
the beginning of the entire counterstrike story and the beginning of my fps career,1
this game of year is not working guys,0
good,1
yes,1
amazing,1
good,0
best game fps ever i played,1
the game is too pleasant it is already many times better than cs,1
the best shooter game of all timesgame that old game and still played today is something specialthere was a lot of magical moments in this yearsfriendsrivals and over gb of demos and ss on old hard drive,1
old but gold,1
dead af,1
better than csgo,1
i got banned for nothing,0
net,1
still pwns your moms face even in,1
dont buy it when u will have some error and u cant find a solution no one will help you i cant play for almost month because error connection problem at this game only and i tried everything and no thing is helping new steam new cs new windows new antivirus and no one at the steam team really care,0
og,1
when you got vac banned,1
nuff said the game of our childhood and teen years,1
that is bullshit csgo is better,0
guacamole ninja penice,1
steam says mins playing but i know the real number is higher i remember a time of days gone by i would pump in insane hours per day just to get rank of a server i played blueyonder server before it became virgin and closed but still steam says only mins a measly mins when valve upgraded to steam they closed the old hosting on won servers and my rank gone with it all those hours gone and this is from a time before before you kids all had global stats oldskool gamers didnt even have stats on one single server that was years and a few scripts away we were literally playing online for fun other humans were a gimmick at the time usee not even a medal pfft,1
og,1
good,1
op,1
no,0
there are still dedicated communities but the game can only see traces of its previous glory also there are multiple issues that havent been fixed for years it has weird bugs with player models making it really hard to hit people on purpose and not so hard to kill them randomly also has bugs with scroll ducking it makes sounds to be played at different location than you are which renders one of the core aspects of the game useless,0
best shooting gamebut the problem is that you dont have bots preinstalled so u have to download files from other sites,1
best game,1
best counter strike game ever made,1
sometimes less is more and this is less than cs,1
source,1
in my toddler times i spent a great deal of time playing this many sequels have come and gone but so far i still think of this as one if not the best version however it did not aged well most servers are filled with hackers or oblige you to install shady protection solutions on your computer so nowadays youre better of following one of the following options turn around and check tf turn around and check csgo,0
best game ever screw cs this is the best cs ever,1
my friend who i play cs with said if i post a review on this game and it gets likes and awards that he will buy me a rtx and kilos of canned ham so im just gon na leave this here shalom,1
if she doesnt know this game she is too young for you,1
cs,1
nostalgia hits hard,1
pica,1
serbia,1
yes,1
still good,1
best fps game,1
good old game,1
who tf made this ass quality gams,0
very nice,1
wonderful steam classic but is insanely hard to get into as a new player in with how small and competitive the active playerbase is youre likely better off just playing modern cs though the charm of this game can not be understated and its a phenomenal fps game thats still very active,1
the servers are full of cheaters so shit steam never fixed this and my account was hacked that is why i moved to origin,0
how can you change graphics,1
year olds on crack banging their heads on keyboard would have made better game anti cheat especially lol,0
good old game,1
shit,0
una reverenda poronga,0
best game ever,1
fire in the hole,1
ive been playing this game since i was a kid,1
sju,0
ew,0
funktioniert selbst heute bestens,1
good game,1
counter strike,1
after years or so we got the next game,1
very nice retro vibe,1
fun game,1
if you ever want to learn new insults and slurs make sure to visit any multiplayer server,1
goat,1
its cs the best,1
a classic shooter,1
nostalgia,1
still good,1
c,1
everything about it is awful,0
i have vac ban offf,0
best game,1
cool,1
top,1
a true classic played it all the time with my cousins growing up,1
cs,1
nostalgic,1
naaaaaah,0
great game just play it,1
best old game,1
beast,1
cs csgo,1
childhood game,1
cs my beloved,1
nice game,1
its still the best iteration of counterstrike,1
not bad but not good,1
its great i like it,1
pentium check mb of ram check windows check cs its go time,1
steps to cs join a random server where you dont understand anything said in the vc shoot randomly and throw grenades everywhere die of horrible gaming skill repeat,1
better than cs,1
this game is life,1
nice game,1
timeless classic,1
good and nice game for old og player,1
juegazo sobretodo cuando te gritan rusos que tienen micros de mierda,1
ee,1
yes i recommend this game,1
good childhood game xd,1
old but good,1
where is my cs kids i have cs,0
classic btw for those who want to play the game with bots like old times ill be sharing this link from a steam community source httpssteamcommunitycomsharedfilesfiledetailsid,1
ehrhrhrh,1
i wan na kms,1
a classic game from valve i dont have much to say but for me cs is a case where i like and i dont like at the same time except cs,0
yes,1
better than cs,1
the classic the memories,1
protracio godina na ovo cudo,1
horse penis and balls,1
this game is dosent good when i play on server dosent work and say time out,0
love it,1
even i rarely play this masterpiece but having hours from the past its feels amazing,1
aleeeeeeeeeeeeeeeeeeeee,1
completely demolished a server would get yelled at by angrysalty hispanics again,1
better than cs,1
good game,1
yuppy,1
oldschooll,0
years and its still a banger,1
i was born too fucking late for this masterpiece with shitty hitboxes and best custom servers,1
the best game,1
the best nostalgic game,1
gangster game,1
awesomeeeeee,1
this game is too old,0
bom melhor que csgo,1
this game will remain forever in my heart,1
wallbanging in this game is stupid and fun great game,1
still the goat,1
good sense required else youll always get knocked upp,1
game of my childhood it is a pleasure to play it,1
the best,1
legend,1
ugugug,1
sorry pleaz,0
very cool game,1
best,1
better than cs,1
best,1
gg,1
cs source rip off,0
cs for trolling,1
still alive and kickin,1
best game forever,1
cool,1
veyr fun,1
the og still fun as hell,1
csgo dad,1
the best game of all time alongside gta sa of course,1
i love this game and its so nostalgia theres nothing make you hate this game except only thing for developers which is precache limit i give it,1
best game,1
best old games ever,1
top,1
this is the good one,1
find your dreams come true and i wonder if you know what it means what it means and i wonder if you know what it means what it means and i wonder if you know what it means to find your dreams ive been waiting on this my whole life these dreams be waking me up at night night night and i wonder you say i think im never wrong wrong wrong and i wonder you know what maybe youre right aight and i wonder if you know what it means what it means and i wonder if you know what it means to find your dreams word and i wonder do you even remember what the issue is you just trying to find where the tissue is you can still be who you wish you is it aint happen yet and thats what the intuition is and i wonder when you hop back in the car drive back to the crib run back to their arms the smokescreens the chokes and the screams you ever wonder what it all really mean and i wonder if you know what it means what it means and i wonder if you know what it means to find your dreams and im back on my grind a psychic read my lifeline told me in my lifetime my name would help light up the chicago skyline and thats what im and i wonder seven oclock thats primetime heavenll watch god calling from the hotlines why he keep giving me hot lines im a star how could i not shine and i wonder how many ladies in the house if you know how many ladies in the house without a spouse what it means something in your blouse got me feeling so aroused what it means what you about and i wonder on that independent shit if you know trade it all for a husband and some kids what it means you ever wonder what it all really mean to find your dreams come true you ever wonder if youll find your dreams,1
its just a legend this is what legendary players started with,1
og game old school,1
best game sugi pula,1
nice,1
pizda,0
what more needs to be said about cs its a true classic and excellent to this day,1
based,1
tupa,0
alot of ppl gon na get mad at me but i love the source ver so much more then whatever this is,0
counterstrike je hra kter v sob skrv silnou nostalgii a vyvolv vzpomnky na star asy tento multiplayerov fenomn byl vydn ped vce ne lety a dodnes se t siln zkladn fanouk ti mohou vzpomnat na dobu kdy hrli s pteli a vychutnvali si atmosfru napt a nvyku kterou hra nabz counterstrike dokazuje e hry nemus bt vizuln propracovan aby byly zbavn a nvykov strun time flies legendary game brings back my memories,1
game,1
best,1
ahead of its time,1
on macos auto connect dont work properly never able to connect to server,0
still the best fps game,1
this is where my online multiplayer games journey started always loved this game so many different types of servers to play really enjoyed zombie plague basebuilder zombie escape i have memories with this game words cant express how good this game is still in,1
why can not i play my game,0
striking counters,1
still one of the best games even after more than years the best counterstrike so far movement feels clean easy to understand the gameplay rather happens in your body its a meditative game to get to know yourself other than that theres no point to it and i love to boot it up every couple of days,1
best game ever,1
i hate this game grrrrrrrr graphics r bad,0
counterstrike not so good game buy notsomuch,0
my pc cant run it,1
i like it,1
gg,1
best game bros,1
great childhood game,1
total facking war so cool,1
what are you fourty five get a life nerd,0
i have no recollection of ever playing this game thus i will give it a,1
greatest game to ever been created,1
yes,1
loved this game and i still love it since i was,1
the best game,1
top,1
the old school game,1
one of the best fps games ive played so far the idea of terrorism is what makes this stand out planting bombs defusing makes this a fantastic experience,1
legendary cs,1
this is my childhood and so its amazing,1
doesent have k or ultra wide suport,0
ok,1
great game,1
is life is love,1
el clasico,1
its classic,1
better than cs,1
funi terrorism game,1
the masterpiece of which cs is a cheap copy,1
mt bom,1
great modded modes,1
cel mai smecher joc,1
gud,1
i like zombie mode d,1
old but gold everybody played this game its old enough that your fathers even some of the current ceos and teachers played this game at least once u can run this game in windows onwards on linux and mac even on og xbox for years it is still a timeless masterpiece it doesnt matter if u have nonsteam or real on steam the thing that matters the most is that you had fun playing it enough said,1
ciema vps,1
og game best fps gaming to exist,1
yez,1
legjobb cs ever,1
og,1
the goat,1
old school is the best school,1
definitely better than cs,1
recomended,1
best game ever xd,1
this created steam ruined my life,0
its the year and youre playing deaztec deassault and deprodigy on a public server on your brothers computer behind his back youre years old and the knife is still held downwards and steam didnt exist yet kids from across the country yell at each other in the open microphone and they just added christmas decals to the map on the server youre playing on,1
nostalgia,1
best,1
s,1
very good game d even years later,1
the graphics havent adjusted well with time,0
physics not here,0
one of the best games ever made the only minus point i find is that it does not come with preconfigured hammer editor with it like the source games do regardless a timeless masterpiece worth playing,1
vanilla cs holds up okay but i only really play this game nowadays for deathmatch and especially zombie plague mods which are still incredibly fun as they were nearly years ago,1
god game,1
m bayonte,1
this is cs csgo and now cs are all good but they dont have anything against the original the number one thing i miss most about modern cs is that valve drastically reduced the number of objects that could be shot through pretty much every walldoorobject in cs could be shot through those were the days,1
game good but game dead is simple,1
